tag,arm,fold,kind,n_te,r2,auc,sse,sstot,secs
base,real,0,A,869183,0.1367510449292869,0.7792791875088318,63089.3359375,73083.59375,320.3
base,real,1,A,870947,0.13762305786984919,0.7828248915841947,63580.9296875,73727.5390625,301.2
base,real,2,A,867192,0.1406402565453495,0.7821780612970914,62962.515625,73266.7734375,304.0
base,real,3,A,898456,0.13167410098528576,0.7769448323382755,65167.51953125,75049.609375,311.8
base,real,4,A,856770,0.13370482337616896,0.7780772644166684,62661.97265625,72333.28125,305.2
base,real,0,B,869183,0.14361112595807457,0.7895211358484839,62587.9765625,73083.59375,321.1
base,real,1,B,870947,0.14825161264686015,0.7943008981800647,62797.3125,73727.5390625,290.5
base,real,2,B,867192,0.14839711938829703,0.792588415744534,62394.1953125,73266.7734375,318.5
base,real,3,B,898456,0.1388747026706293,0.7880914109816485,64627.1171875,75049.609375,330.6
base,real,4,B,856770,0.14240710858806782,0.7906618490255541,62032.5078125,72333.28125,317.0
base,shuffle0,0,B,869183,0.13575288357723925,0.7785287734497393,63162.28515625,73083.59375,280.7
base,shuffle0,1,B,870947,0.13560125567903358,0.7805108449777561,63729.9921875,73727.5390625,260.1
base,shuffle0,2,B,867192,0.13959394110584955,0.7818398819292824,63039.17578125,73266.7734375,268.2
base,shuffle0,3,B,898456,0.12973168789394518,0.7759301307800996,65313.296875,75049.609375,254.3
base,shuffle0,4,B,856770,0.1327350826145468,0.7773910475113647,62732.1171875,72333.28125,266.5
base,shuffle1,0,B,869183,0.13504099543544956,0.7777394715688727,63214.3125,73083.59375,252.7
base,shuffle1,1,B,870947,0.1358588553187544,0.781030508186304,63711.0,73727.5390625,257.4
base,shuffle1,2,B,867192,0.13985236102611742,0.781538010675569,63020.2421875,73266.7734375,256.2
base,shuffle1,3,B,898456,0.12974771895673176,0.7760285789404809,65312.09375,75049.609375,259.9
base,shuffle1,4,B,856770,0.13310273840922981,0.7778529878863886,62705.5234375,72333.28125,251.0
base,shuffle2,0,B,869183,0.1348998364458508,0.7781723628094207,63224.62890625,73083.59375,263.5
base,shuffle2,1,B,870947,0.1357372081009841,0.7805438894950532,63719.96875,73727.5390625,271.8
base,shuffle2,2,B,867192,0.1401015040604503,0.7818671076989901,63001.98828125,73266.7734375,275.7
base,shuffle2,3,B,898456,0.1300307609029444,0.7762471384819173,65290.8515625,75049.609375,270.6
base,shuffle2,4,B,856770,0.1324119797033264,0.777009185851534,62755.48828125,72333.28125,267.7
base,real,0,C,869183,0.14963440837226205,0.7936246230317414,62147.7734375,73083.59375,364.2
base,real,1,C,870947,0.15398768162973364,0.7986406432938928,62374.40625,73727.5390625,383.9
base,real,2,C,867192,0.15328347913505724,0.7966730452213673,62036.1875,73266.7734375,371.0
base,real,3,C,898456,0.14409822669380146,0.7911174454325411,64235.09375,75049.609375,367.0
base,real,4,C,856770,0.14725975465132102,0.7946676343833249,61681.5,72333.28125,363.8
base,shuffle0,0,C,869183,0.13550536094155874,0.7779439928099756,63180.375,73083.59375,343.9
base,shuffle0,1,C,870947,0.13770369683563588,0.7796257357921862,63574.984375,73727.5390625,341.7
base,shuffle0,2,C,867192,0.13889172349292456,0.780353488099669,63090.625,73266.7734375,342.2
base,shuffle0,3,C,898456,0.1291557667584462,0.7740325046282704,65356.51953125,75049.609375,336.8
base,shuffle0,4,C,856770,0.1315505699528874,0.7736006527546815,62817.796875,72333.28125,318.7
base,shuffle1,0,C,869183,0.1347510876885416,0.776942501044878,63235.5,73083.59375,340.8
base,shuffle1,1,C,870947,0.13684575546048183,0.7802239103113819,63638.23828125,73727.5390625,341.5
base,shuffle1,2,C,867192,0.13848871210911917,0.7799763215797262,63120.15234375,73266.7734375,347.2
base,shuffle1,3,C,898456,0.12947899045943567,0.7749525145164223,65332.26171875,75049.609375,354.0
base,shuffle1,4,C,856770,0.13156779706782618,0.7745039981006951,62816.55078125,72333.28125,342.7
base,shuffle2,0,C,869183,0.13483190267993628,0.7776536695533404,63229.59375,73083.59375,342.4
base,shuffle2,1,C,870947,0.13566366875504987,0.7794023420259735,63725.390625,73727.5390625,353.2
base,shuffle2,2,C,867192,0.13789893675157794,0.7803231475406003,63163.36328125,73266.7734375,346.0
base,shuffle2,3,C,898456,0.12975729595527963,0.7748097825652095,65311.375,75049.609375,344.2
base,shuffle2,4,C,856770,0.13237757947694373,0.7771481340352079,62757.9765625,72333.28125,350.2
cap16,real,0,A,869183,0.1371923204378548,0.779646535578272,63057.0859375,73083.59375,219.4
cap16,real,1,A,870947,0.13774894366663581,0.7818206671664505,63571.6484375,73727.5390625,215.8
cap16,real,2,A,867192,0.13913932037960164,0.7818478138750691,63072.484375,73266.7734375,215.7
cap16,real,0,B,869183,0.14371930687248125,0.7887416987454094,62580.0703125,73083.59375,214.1
cap16,real,1,B,870947,0.149101500721883,0.7943659167371886,62734.65234375,73727.5390625,219.6
cap16,real,2,B,867192,0.14823909243478484,0.7924381808988533,62405.7734375,73266.7734375,217.1
cap16,shuffle0,0,B,869183,0.136164120709376,0.7781804353851629,63132.23046875,73083.59375,261.3
cap16,shuffle0,1,B,870947,0.13796230313787305,0.7811498766714771,63555.91796875,73727.5390625,269.2
cap16,shuffle0,2,B,867192,0.14052781428996586,0.7820605810029252,62970.75390625,73266.7734375,272.9
cap16,real,0,C,869183,0.14775064940618088,0.7921294225312625,62285.4453125,73083.59375,319.4
cap16,real,1,C,870947,0.1528897307177769,0.7968494900942392,62455.35546875,73727.5390625,314.2
cap16,real,2,C,867192,0.1518529726608039,0.7948001312176891,62140.99609375,73266.7734375,319.9
cap16,shuffle0,0,C,869183,0.13579291692945794,0.777873312158811,63159.359375,73083.59375,327.3
cap16,shuffle0,1,C,870947,0.13700380147555535,0.7797212186200305,63626.5859375,73727.5390625,326.2
cap16,shuffle0,2,C,867192,0.1391700833864089,0.7802262537027461,63070.23046875,73266.7734375,329.4
temporal,real,0,A,2286633,0.13797940626861327,0.7802858624301422,168605.625,195593.5,166.3
temporal,real,0,B,2286633,0.1461929492800118,0.7884346410864617,166999.109375,195593.5,136.7
temporal,shuffle0,0,B,2286633,0.13718758547702248,0.778831804476956,168760.5,195593.5,176.9
temporal,shuffle1,0,B,2286633,0.13835965919112858,0.778417164519708,168531.25,195593.5,174.4
temporal,real,0,C,2286633,0.14814725757757796,0.7908631169789057,166616.859375,195593.5,207.9
temporal,shuffle0,0,C,2286633,0.13644816928987924,0.7763486180812106,168905.125,195593.5,173.7
temporal,shuffle1,0,C,2286633,0.1357702646049076,0.7755858401381991,169037.71875,195593.5,177.5
top100,real,0,A,668321,0.11160684789868014,0.7751874332963744,48532.015625,54628.984375,175.0
top100,real,1,A,674168,0.11110936958567985,0.7737768611081666,49180.0546875,55327.453125,173.8
top100,real,2,A,690337,0.10853950136460322,0.7685671215468353,50160.5078125,56267.78515625,168.3
top100,real,0,B,668321,0.12070315237303919,0.7874931709178875,48035.09375,54628.984375,170.6
top100,real,1,B,674168,0.11743520183950273,0.784781964187404,48830.0625,55327.453125,169.7
top100,real,2,B,690337,0.11543121122883859,0.7793751112317413,49772.7265625,56267.78515625,167.0
top100,shuffle0,0,B,668321,0.11163609347716341,0.7735613941302026,48530.41796875,54628.984375,195.2
top100,shuffle0,1,B,674168,0.10792181322732808,0.7718792538117877,49356.4140625,55327.453125,195.1
top100,shuffle0,2,B,690337,0.10724546606895746,0.7675373301852884,50233.3203125,56267.78515625,196.6
top100,real,0,C,668321,0.12704536711424086,0.7914430895563628,47688.625,54628.984375,245.3
top100,real,1,C,674168,0.12174060571760681,0.7888209685468556,48591.85546875,55327.453125,249.5
top100,real,2,C,690337,0.121922769835343,0.7870716025630914,49407.4609375,56267.78515625,240.9
top100,shuffle0,0,C,668321,0.1097875441007592,0.7726350456835518,48631.40234375,54628.984375,250.3
top100,shuffle0,1,C,674168,0.10671069996049087,0.770151979442885,49423.421875,55327.453125,261.9
top100,shuffle0,2,C,690337,0.10508746783048384,0.7653663750284151,50354.74609375,56267.78515625,258.6
wardX,real,0,A,869183,0.1420821619079179,0.7860561608435412,62699.71875,73083.59375,355.7
