설정,readout,latent_L2,n_null,A,B,C,auc_C,d_main,d_latent,d_total,ratio,S,R기준,Q2,Q2b,S기준
순환 이중 잠재 (native),비제약,1e-4,3,0.13608,0.14431,0.14965,0.79494,0.00963,0.00573,0.01535,0.59474,-0.00038,충족,충족,미충족,충족
native — 잠재표 감쇠 제외,비제약,0,2,0.13608,0.14431,0.14896,0.79403,0.00961,0.00443,0.01403,0.46089,0.00022,충족,미충족,미충족,미충족
CDLD-A 1차 (붕괴),정합,1e-4,2,0.13608,0.14029,0.14187,0.78665,0.00451,0.00100,0.00550,0.22143,0.00058,미충족,미충족,미충족,미충족
CDLD-A — 잠재표 L2 1e-5,정합,1e-5,2,0.13608,0.14029,0.14909,0.79330,0.00451,0.00875,0.01326,1.94322,0.00005,충족,충족,충족,미충족
CDLD-A (본판),정합,0,3,0.13608,0.14029,0.15031,0.79474,0.00435,0.01072,0.01507,2.46427,-0.00071,충족,충족,충족,충족
native — 병동 통제,비제약,1e-4,3,0.14182,0.14858,0.15276,0.79718,0.00781,0.00504,0.01286,0.64552,-0.00087,충족,충족,미충족,충족
CDLD-A — 병동 통제,정합,0,2,0.14182,0.14559,0.15257,0.79707,0.00381,0.00776,0.01157,2.03776,-0.00078,충족,충족,충족,충족
저랭크 이중선형 (ALS),정합,—,3,0.12861,0.13526,0.14577,,0.00751,0.01124,0.01875,1.49800,-0.00073,충족,충족,충족,충족
ALS — 병동 통제,정합,—,2,0.13808,0.14257,0.14859,,0.00522,0.00770,0.01293,1.47500,-0.00169,충족,충족,충족,충족
ALS — Hold Dose 제외,정합,—,2,0.13052,0.13680,0.14740,,0.00714,0.01132,0.01846,1.58600,-0.00072,충족,충족,충족,충족
ALS — Sliding Scale 포함,정합,—,2,0.18042,0.18560,0.19530,,0.00592,0.01085,0.01677,1.83300,-0.00115,충족,충족,충족,충족
