drug,n,rate,cluster,cluster_resid
MORPHINE SULFATE,15613.0,0.011400755780439377,1,0
ALUMINUM-MAGNESIUM HYDROX.-SIMETHICONE,2675.0,0.09420560747663552,3,1
ONDANSETRON,39205.0,0.023032776431577605,2,2
PREGABALIN,18705.0,0.06704089815557338,0,1
ACETAMINOPHEN,249125.0,0.09568289011540392,3,1
HYDROMORPHONE (DILAUDID),170202.0,0.006985816852915947,1,0
LORAZEPAM,48541.0,0.03592839043282998,2,2
OXYCODONE (IMMEDIATE RELEASE),123419.0,0.012242847535630657,3,3
CEFAZOLIN,27265.0,0.020099028057949754,1,0
INSULIN,214162.0,0.11298923245020125,0,3
ASPIRIN,55751.0,0.04828612939678212,0,3
CLOPIDOGREL,10876.0,0.038157410812798824,0,3
DOCUSATE SODIUM,94057.0,0.26982574396376663,3,1
METOPROLOL TARTRATE,85904.0,0.1063861985472155,0,3
NEUTRA-PHOS,11773.0,0.07287862057249639,3,1
HEPARIN,196855.0,0.07477585024510426,2,2
AMOXICILLIN-CLAVULANIC ACID,3091.0,0.023940472339048852,1,0
GENTAMICIN 0.3% OPHTH. SOLN,4075.0,0.008098159509202453,1,0
PHENYLEPHRINE 2.5 % OPHTH SOLN,6854.0,0.003355704697986577,1,0
TROPICAMIDE 1 %,5251.0,0.00304703865930299,1,0
ATORVASTATIN,45318.0,0.044088441678803124,0,3
LOSARTAN POTASSIUM,9567.0,0.059684331556391766,0,3
SENNA,92522.0,0.3121960182443095,3,1
CEFTRIAXONE,19503.0,0.03609701071630006,2,2
LEVOTHYROXINE SODIUM,24692.0,0.04345537016037583,0,3
MULTIVITAMINS,27514.0,0.06502144362869812,0,3
OMEPRAZOLE,43000.0,0.048627906976744184,0,3
HEPARIN FLUSH (10 UNITS/ML),9877.0,0.7727042624278627,0,0
SODIUM CHLORIDE 0.9%  FLUSH,16123.0,0.021584072443093717,1,0
ACETAMINOPHEN IV,43697.0,0.02164908346110717,1,0
METOCLOPRAMIDE,13875.0,0.1058018018018018,2,2
KETOROLAC,15174.0,0.06722024515618821,0,3
ENOXAPARIN SODIUM,8997.0,0.05424030232299656,2,2
PANTOPRAZOLE,67405.0,0.0317780580075662,1,0
LIDOCAINE 5% PATCH,34363.0,0.3032331286558217,2,2
CEFTAZIDIME,3570.0,0.03613445378151261,2,2
LIDOCAINE 1% (FOR PICC/MIDLINE INSERTIONS),12182.0,0.019126580200295517,1,0
CLINDAMYCIN,2250.0,0.04844444444444444,1,0
ALBUTEROL 0.083% NEB SOLN,19998.0,0.09010901090109011,3,1
IPRATROPIUM BROMIDE NEB,10242.0,0.12761179457137278,2,2
METHYLPREDNISOLONE SODIUM SUCC,5735.0,0.03696599825632084,2,2
ALBUTEROL INHALER,30844.0,0.09233562443262872,3,1
FLUTICASONE PROPIONATE NASAL,10826.0,0.21457602069092924,2,2
AMIODARONE,10631.0,0.03367510111936789,1,3
