drug,n,rate,cluster,cluster_resid
MORPHINE SULFATE,15613.0,0.011400755780439377,3,1
ALUMINUM-MAGNESIUM HYDROX.-SIMETHICONE,2675.0,0.09420560747663552,2,3
ONDANSETRON,39205.0,0.023032776431577605,0,1
PREGABALIN,18705.0,0.06704089815557338,2,2
ACETAMINOPHEN,249125.0,0.09568289011540392,2,3
HYDROMORPHONE (DILAUDID),170202.0,0.006985816852915947,3,1
LORAZEPAM,48541.0,0.03592839043282998,0,1
OXYCODONE (IMMEDIATE RELEASE),123419.0,0.012242847535630657,3,0
CEFAZOLIN,27265.0,0.020099028057949754,3,1
INSULIN,214162.0,0.11298923245020125,2,2
ASPIRIN,55751.0,0.04828612939678212,1,0
CLOPIDOGREL,10876.0,0.038157410812798824,3,0
DOCUSATE SODIUM,94057.0,0.26982574396376663,2,3
METOPROLOL TARTRATE,85904.0,0.1063861985472155,2,2
NEUTRA-PHOS,11773.0,0.07287862057249639,3,1
HEPARIN,196855.0,0.07477585024510426,0,1
AMOXICILLIN-CLAVULANIC ACID,3091.0,0.023940472339048852,3,0
GENTAMICIN 0.3% OPHTH. SOLN,4075.0,0.008098159509202453,3,1
PHENYLEPHRINE 2.5 % OPHTH SOLN,6854.0,0.003355704697986577,3,1
TROPICAMIDE 1 %,5251.0,0.00304703865930299,3,0
ATORVASTATIN,45318.0,0.044088441678803124,1,0
LOSARTAN POTASSIUM,9567.0,0.059684331556391766,1,2
SENNA,92522.0,0.3121960182443095,2,3
CEFTRIAXONE,19503.0,0.03609701071630006,3,1
LEVOTHYROXINE SODIUM,24692.0,0.04345537016037583,1,2
MULTIVITAMINS,27514.0,0.06502144362869812,1,0
OMEPRAZOLE,43000.0,0.048627906976744184,1,0
HEPARIN FLUSH (10 UNITS/ML),9877.0,0.7727042624278627,1,0
SODIUM CHLORIDE 0.9%  FLUSH,16123.0,0.021584072443093717,3,0
ACETAMINOPHEN IV,43697.0,0.02164908346110717,3,1
METOCLOPRAMIDE,13875.0,0.1058018018018018,0,1
KETOROLAC,15174.0,0.06722024515618821,3,1
ENOXAPARIN SODIUM,8997.0,0.05424030232299656,0,1
PANTOPRAZOLE,67405.0,0.0317780580075662,1,0
LIDOCAINE 5% PATCH,34363.0,0.3032331286558217,0,1
CEFTAZIDIME,3570.0,0.03613445378151261,0,1
LIDOCAINE 1% (FOR PICC/MIDLINE INSERTIONS),12182.0,0.019126580200295517,3,0
CLINDAMYCIN,2250.0,0.04844444444444444,3,3
ALBUTEROL 0.083% NEB SOLN,19998.0,0.09010901090109011,3,3
IPRATROPIUM BROMIDE NEB,10242.0,0.12761179457137278,0,1
METHYLPREDNISOLONE SODIUM SUCC,5735.0,0.03696599825632084,2,2
ALBUTEROL INHALER,30844.0,0.09233562443262872,3,3
FLUTICASONE PROPIONATE NASAL,10826.0,0.21457602069092924,0,2
AMIODARONE,10631.0,0.03367510111936789,3,0
FLUTICASONE-SALMETEROL DISKUS (250/50),10459.0,0.1258246486279759,2,2
LATANOPROST 0.005% OPHTH. SOLN.,5769.0,0.1029641185647426,0,2
RANITIDINE,5367.0,0.06670393143283027,1,2
DILTIAZEM EXTENDED-RELEASE,2476.0,0.06381260096930533,1,0
HYDROCHLOROTHIAZIDE,4125.0,0.08824242424242425,1,2
ISOSORBIDE MONONITRATE (EXTENDED RELEASE),4391.0,0.05739011614666363,1,3
MULTIVITAMINS W/MINERALS,25690.0,0.07633320358115998,1,2
TIOTROPIUM BROMIDE,7805.0,0.12953235105701474,1,0
IPRATROPIUM BROMIDE MDI,17929.0,0.07395839143287411,1,0
CEFEPIME,27403.0,0.024595847170017882,3,1
CHLORHEXIDINE GLUCONATE 0.12% ORAL RINSE,18060.0,0.09629014396456256,0,1
FERROUS SULFATE,8088.0,0.06392185954500494,1,0
SULFAMETH/TRIMETHOPRIM SS,8201.0,0.03962931349835386,1,0
VANCOMYCIN,36980.0,0.0671984856679286,1,0
PROPOFOL,4072.0,0.025294695481335953,3,3
LANSOPRAZOLE ORAL DISINTEGRATING TAB,10210.0,0.06875612144955925,3,1
FENTANYL CITRATE,14495.0,0.008830631252155916,3,3
MAGNESIUM SULFATE,17512.0,0.01638876199177707,0,1
PREDNISONE,21914.0,0.03217121474856256,1,0
APIXABAN,29516.0,0.021208835885621356,3,0
DILTIAZEM,8265.0,0.09134906231094979,2,2
IPRATROPIUM-ALBUTEROL NEB,51582.0,0.1502655965259199,0,1
FUROSEMIDE,49189.0,0.033279798328894675,0,1
SODIUM CHLORIDE NASAL,4206.0,0.25582501188777934,2,3
POTASSIUM CHLORIDE,29637.0,0.05955393595843034,0,1
PROMETHAZINE,2214.0,0.02077687443541102,1,0
GABAPENTIN,80643.0,0.05990600548094689,2,2
FAMOTIDINE,41128.0,0.03484244310445438,1,2
CARVEDILOL,21497.0,0.0677768991022003,1,0
FLUTICASONE PROPIONATE 110MCG,12109.0,0.14501610372450244,0,2
ASPIRIN EC,6575.0,0.08212927756653993,1,0
METOPROLOL SUCCINATE XL,23194.0,0.07752004828835043,2,2
NAFCILLIN,2146.0,0.035414725069897485,0,1
MONTELUKAST,4653.0,0.04663657855147217,1,0
VITAMIN D,28177.0,0.05607410299180182,3,0
METRONIDAZOLE,32701.0,0.028622977890584385,3,1
TRAZODONE,13381.0,0.04655855317240864,2,3
BENZONATATE,12045.0,0.08999584889995849,1,0
GUAIFENESIN,10673.0,0.13969830413192166,2,3
BISACODYL,16990.0,0.3492054149499706,2,3
OXYCODONE SR (OXYCONTIN),8362.0,0.04950968667782827,2,2
THIAMINE,28695.0,0.050914793518034504,1,0
SUCRALFATE,14579.0,0.13505727416146512,1,1
WARFARIN,10281.0,0.023635833090166328,3,2
TRAMADOL,12523.0,0.01892517767308153,3,3
CALCIUM CARBONATE,20621.0,0.09790989767712525,2,2
CYANOCOBALAMIN,10808.0,0.05357142857142857,1,0
SERTRALINE,12102.0,0.05304908279623203,1,0
IBUPROFEN,12476.0,0.04512664315485733,2,3
DEXAMETHASONE,16079.0,0.029914795696249767,0,1
LISINOPRIL,18155.0,0.07711374277058662,1,2
TAMSULOSIN,16804.0,0.05712925493930017,2,3
POLYETHYLENE GLYCOL,54998.0,0.4193970689843267,2,3
ROSUVASTATIN CALCIUM,7152.0,0.03565436241610738,1,0
TORSEMIDE,11197.0,0.056086451728141466,1,2
ARTIFICIAL TEARS,6724.0,0.14886972040452112,3,3
CAPTOPRIL,2825.0,0.09380530973451327,1,3
VANCOMYCIN ORAL LIQUID,15053.0,0.0530126885006311,1,0
ENOXAPARIN (PROPHYLAXIS),22248.0,0.08585041352031643,0,1
AMLODIPINE,28343.0,0.05366404403203613,1,2
MAGNESIUM OXIDE,20621.0,0.041462586683478006,3,3
HYDRALAZINE,25264.0,0.08292431918936036,2,3
SEVELAMER CARBONATE,23071.0,0.292835161024663,2,2
