arm,fold,kind,bss,bss_original,diff,init_seed,fit_seed,cycles,sub_epochs,cyclic,secs
real,0,A,0.13723117791056905,0.1367510449292869,0.0004801329812821331,2000,42,6,1,False,334.4
real,1,A,0.1388082705273057,0.13762305786984919,0.0011852126574565247,2001,43,6,1,False,331.2
real,2,A,0.14062511496140973,0.1406402565453495,-1.5141583939781711e-05,2002,44,6,1,False,331.3
real,3,A,0.13151321781946312,0.13167410098528576,-0.00016088316582263396,2003,45,6,1,False,316.8
real,4,A,0.13428849315127678,0.13370482337616896,0.0005836697751078201,2004,46,6,1,False,326.2
real,0,C,0.14936037499866373,0.14963440837226205,-0.0002740333735983258,1500,42,3,1,True,364.2
real,1,C,0.15487629972051875,0.15398768162973364,0.0008886180907851093,1501,43,3,1,True,358.4
real,2,C,0.1533241054975999,0.15328347913505724,4.062636254265062e-05,1502,44,3,1,True,361.8
real,3,C,0.14450816387077303,0.14409822669380146,0.0004099371769715754,1503,45,3,1,True,352.9
real,4,C,0.14658881522812162,0.14725975465132102,-0.0006709394231994015,1504,46,3,1,True,378.7
shuffle0,0,C,0.13493650250676126,0.13550536094155874,-0.0005688584347974812,1500,42,3,1,True,395.1
shuffle0,1,C,0.13669369643826912,0.13770369683563588,-0.0010100003973667615,1501,43,3,1,True,396.4
shuffle0,2,C,0.13873502942532245,0.13889172349292456,-0.00015669406760210336,1502,44,3,1,True,400.1
shuffle0,3,C,0.12978436138595828,0.1291557667584462,0.0006285946275120802,1503,45,3,1,True,373.0
shuffle0,4,C,0.13252851924576559,0.1315505699528874,0.0009779492928781996,1504,46,3,1,True,393.5
shuffle1,0,C,0.13462590997038926,0.1347510876885416,-0.00012517771815234724,1500,42,3,1,True,391.8
shuffle1,1,C,0.13691028782600634,0.13684575546048183,6.453236552450559e-05,1501,43,3,1,True,392.4
shuffle1,2,C,0.13796296859070345,0.13848871210911917,-0.0005257435184157222,1502,44,3,1,True,399.5
shuffle1,3,C,0.13036949517766894,0.12947899045943567,0.0008905047182332648,1503,45,3,1,True,390.1
shuffle1,4,C,0.13300996040463742,0.13156779706782618,0.0014421633368112419,1504,46,3,1,True,396.8
shuffle2,0,C,0.13489379670112345,0.13483190267993628,6.189402118716991e-05,1500,42,3,1,True,404.0
shuffle2,1,C,0.13612132932434406,0.13566366875504987,0.00045766056929419374,1501,43,3,1,True,401.7
shuffle2,2,C,0.1382447939875543,0.13789893675157794,0.00034585723597635454,1502,44,3,1,True,390.2
shuffle2,3,C,0.1302189697439714,0.12975729595527963,0.00046167378869177433,1503,45,3,1,True,393.0
shuffle2,4,C,0.13222809780248979,0.13237757947694373,-0.000149481674453944,1504,46,3,1,True,397.0
